date;time;strategy;ticker;side;confidence;reasoning
2025-09-22;;daily_sentiment;AAPL;short;65;
2025-09-22;;daily_sentiment;AMZN;neutral;70;
2025-09-22;;daily_sentiment;GOOGL;neutral;65;
2025-09-22;;daily_sentiment;MSFT;short;70;
2025-09-22;;daily_sentiment;NVDA;short;70;
2025-09-22;;daily_top5;AAPL;long;65;
2025-09-22;;daily_top5;AMZN;long;70;
2025-09-22;;daily_top5;GOOGL;long;65;
2025-09-22;;daily_top5;MSFT;long;70;
2025-09-22;;daily_top5;NVDA;long;70;
2025-10-01;;daily_sentiment;CRWD;long;65;
2025-10-01;;daily_sentiment;IBM;short;64;
2025-10-01;;daily_sentiment;MCD;short;62;
2025-10-01;;daily_sentiment;MSFT;long;63;
2025-10-01;;daily_sentiment;NVDA;short;62;
2025-10-01;;daily_top5;CRWD;long;65;
2025-10-01;;daily_top5;IBM;long;64;
2025-10-01;;daily_top5;MCD;long;62;
2025-10-01;;daily_top5;MSFT;long;63;
2025-10-01;;daily_top5;NVDA;long;62;
2025-10-02;;daily_sentiment;INTC;short;65;
2025-10-02;;daily_sentiment;MSFT;neutral;62;
2025-10-02;;daily_sentiment;NKE;long;58;
2025-10-02;;daily_sentiment;NVDA;long;64;
2025-10-02;;daily_sentiment;TSLA;short;62;
2025-10-02;;daily_top5;INTC;long;65;
2025-10-02;;daily_top5;MSFT;long;62;
2025-10-02;;daily_top5;NKE;long;58;
2025-10-02;;daily_top5;NVDA;long;64;
2025-10-02;;daily_top5;TSLA;long;62;
2025-10-03;;daily_sentiment;CBRL;short;62;
2025-10-03;;daily_sentiment;DASH;short;58;
2025-10-03;;daily_sentiment;FICO;long;65;
2025-10-03;;daily_sentiment;HUM;short;60;
2025-10-03;;daily_sentiment;WMT;short;62;
2025-10-03;;daily_top5;CBRL;long;62;
2025-10-03;;daily_top5;DASH;long;58;
2025-10-03;;daily_top5;FICO;long;65;
2025-10-03;;daily_top5;HUM;long;60;
2025-10-03;;daily_top5;WMT;long;62;
2025-10-04;;daily_sentiment;DELL;short;62;
2025-10-04;;daily_sentiment;MSFT;long;63;
2025-10-04;;daily_sentiment;NVDA;short;62;
2025-10-04;;daily_sentiment;PFE;short;63;
2025-10-04;;daily_sentiment;TSLA;short;60;
2025-10-04;;daily_top5;DELL;long;62;
2025-10-04;;daily_top5;MSFT;long;63;
2025-10-04;;daily_top5;NVDA;long;62;
2025-10-04;;daily_top5;PFE;long;63;
2025-10-04;;daily_top5;TSLA;long;60;
2025-10-05;;daily_sentiment;EAT;short;62;
2025-10-05;;daily_sentiment;MSFT;long;62;
2025-10-05;;daily_sentiment;NFLX;long;62;
2025-10-05;;daily_sentiment;NVDA;long;64;
2025-10-05;;daily_sentiment;SMCI;short;65;
2025-10-05;;daily_top5;EAT;long;62;
2025-10-05;;daily_top5;MSFT;long;62;
2025-10-05;;daily_top5;NFLX;long;62;
2025-10-05;;daily_top5;NVDA;long;64;
2025-10-05;;daily_top5;SMCI;long;65;
2025-10-07;;daily_sentiment;APP;long;62;
2025-10-07;;daily_sentiment;COIN;short;65;
2025-10-07;;daily_sentiment;MSFT;long;68;
2025-10-07;;daily_sentiment;ORCL;short;62;
2025-10-07;;daily_sentiment;TTWO;short;62;
2025-10-07;;daily_top5;APP;long;62;
2025-10-07;;daily_top5;COIN;long;65;
2025-10-07;;daily_top5;MSFT;long;68;
2025-10-07;;daily_top5;ORCL;long;62;
2025-10-07;;daily_top5;TTWO;long;62;
2025-10-08;;daily_sentiment;AMD;short;56;
2025-10-08;;daily_sentiment;COIN;long;60;
2025-10-08;;daily_sentiment;MSTR;short;63;
2025-10-08;;daily_sentiment;NVDA;short;60;
2025-10-08;;daily_sentiment;SMCI;short;62;
2025-10-08;;daily_top5;AMD;long;56;
2025-10-08;;daily_top5;COIN;long;60;
2025-10-08;;daily_top5;MSTR;long;63;
2025-10-08;;daily_top5;NVDA;long;60;
2025-10-08;;daily_top5;SMCI;long;62;
2025-10-09;;daily_sentiment;AAPL;short;60;
2025-10-09;;daily_sentiment;COST;long;62;
2025-10-09;;daily_sentiment;FSLR;short;58;
2025-10-09;;daily_sentiment;NEE;short;63;
2025-10-09;;daily_sentiment;NVDA;short;60;
2025-10-09;;daily_sentiment;YUM;short;60;
2025-10-09;;daily_top5;AAPL;long;60;
2025-10-09;;daily_top5;COST;long;62;
2025-10-09;;daily_top5;FSLR;long;58;
2025-10-09;;daily_top5;NEE;long;63;
2025-10-09;;daily_top5;NVDA;long;60;
2025-10-09;;daily_top5;YUM;long;60;
2025-10-10;;daily_sentiment;AAPL;short;60;
2025-10-10;;daily_top5;AAPL;long;60;
