Maturity,Last,Change,High,Low,Settlement,Volume,timestamp
VIX,12.7,0.48,12.78,12.78,-,-,02/07/2024 13:05
07/03/2024,0,,0,0,12.75,0,02/07/2024 13:05
07/10/2024,0,,0,0,13.325,0,02/07/2024 13:05
07/17/2024,13.55,0.133,13.55,13.35,13.4175,"7,570",02/07/2024 13:05
07/24/2024,0,,0,0,14.2,0,02/07/2024 13:05
07/31/2024,0,,0,0,14.3,0,02/07/2024 13:05
08/07/2024,0,,0,0,14.3,0,02/07/2024 13:05
08/21/2024,14.51,0.079,14.55,14.37,14.4308,"5,305",02/07/2024 13:05
09/18/2024,15.45,0.092,15.45,15.3,15.3579,"1,301",02/07/2024 13:05
10/16/2024,17.83,0.112,17.85,17.65,17.7177,"1,985",02/07/2024 13:05
11/20/2024,17.12,0.122,17.15,16.95,16.9981,"1,188",02/07/2024 13:05
12/18/2024,17.06,0.138,17.06,16.92,16.9225,260,02/07/2024 13:05
01/22/2025,17.76,0.148,17.76,17.6,17.612,35,02/07/2024 13:05
02/19/2025,18.05,0.075,18.05,17.98,17.975,8,02/07/2024 13:05
03/18/2025,0,,0,0,18.25,0,02/07/2024 13:05
VIX,12.67,0.45,12.78,12.78,-,-,02/07/2024 13:06
07/03/2024,0,,0,0,12.75,0,02/07/2024 13:06
07/10/2024,0,,0,0,13.325,0,02/07/2024 13:06
07/17/2024,13.54,0.123,13.55,13.35,13.4175,"7,364",02/07/2024 13:06
07/24/2024,0,,0,0,14.2,0,02/07/2024 13:06
07/31/2024,0,,0,0,14.3,0,02/07/2024 13:06
08/07/2024,0,,0,0,14.3,0,02/07/2024 13:06
08/21/2024,14.51,0.079,14.55,14.37,14.4308,"5,263",02/07/2024 13:06
09/18/2024,15.45,0.092,15.45,15.3,15.3579,"1,145",02/07/2024 13:06
10/16/2024,17.85,0.132,17.85,17.65,17.7177,"1,474",02/07/2024 13:06
11/20/2024,17.15,0.152,17.15,16.95,16.9981,959,02/07/2024 13:06
12/18/2024,17.02,0.098,17.02,16.92,16.9225,229,02/07/2024 13:06
01/22/2025,17.7,0.088,17.7,17.6,17.612,26,02/07/2024 13:06
02/19/2025,18,0.025,18,17.98,17.975,4,02/07/2024 13:06
