Future Month,Last,Timestamp
Jul,13.33,2024-07-07 13:24
Aug,14.4,2024-07-07 13:24
Sep,15.31,2024-07-07 13:24
Oct,17.7,2024-07-07 13:24
Nov,17.23,2024-07-07 13:24
Dec,17.06,2024-07-07 13:24
Jan,17.75,2024-07-07 13:24
Feb,18.05,2024-07-07 13:24
VIX,12.48,2024-07-07 13:24
Jul,13.33,2024-07-07 14:44
Aug,14.4,2024-07-07 14:44
Sep,15.31,2024-07-07 14:44
Oct,17.7,2024-07-07 14:44
Nov,17.23,2024-07-07 14:44
Dec,17.06,2024-07-07 14:44
Jan,17.75,2024-07-07 14:44
Feb,18.05,2024-07-07 14:44
VIX,12.48,2024-07-07 14:44
Jul,13.33,2024-07-07 14:55
Aug,14.4,2024-07-07 14:55
Sep,15.31,2024-07-07 14:55
Oct,17.7,2024-07-07 14:55
Nov,17.23,2024-07-07 14:55
Dec,17.06,2024-07-07 14:55
Jan,17.75,2024-07-07 14:55
Feb,18.05,2024-07-07 14:55
VIX,12.48,2024-07-07 14:55
Jul,13.33,2024-07-07 14:56
Aug,14.4,2024-07-07 14:56
Sep,15.31,2024-07-07 14:56
Oct,17.7,2024-07-07 14:56
Nov,17.23,2024-07-07 14:56
Dec,17.06,2024-07-07 14:56
Jan,17.75,2024-07-07 14:56
Feb,18.05,2024-07-07 14:56
VIX,12.48,2024-07-07 14:56
Jul,13.33,2024-07-07 14:58
Aug,14.4,2024-07-07 14:58
Sep,15.31,2024-07-07 14:58
Oct,17.7,2024-07-07 14:58
Nov,17.23,2024-07-07 14:58
Dec,17.06,2024-07-07 14:58
Jan,17.75,2024-07-07 14:58
Feb,18.05,2024-07-07 14:58
VIX,12.48,2024-07-07 14:58
Jul,13.33,2024-07-07 14:59
Aug,14.4,2024-07-07 14:59
Sep,15.31,2024-07-07 14:59
Oct,17.7,2024-07-07 14:59
Nov,17.23,2024-07-07 14:59
Dec,17.06,2024-07-07 14:59
Jan,17.75,2024-07-07 14:59
Feb,18.05,2024-07-07 14:59
VIX,12.48,2024-07-07 14:59
Jul,13.33,2024-07-07 15:18
Aug,14.4,2024-07-07 15:18
Sep,15.31,2024-07-07 15:18
Oct,17.7,2024-07-07 15:18
Nov,17.23,2024-07-07 15:18
Dec,17.06,2024-07-07 15:18
Jan,17.75,2024-07-07 15:18
Feb,18.05,2024-07-07 15:18
VIX,12.48,2024-07-07 15:18
Jul,13.33,2024-07-07 15:21
Aug,14.4,2024-07-07 15:21
Sep,15.31,2024-07-07 15:21
Oct,17.7,2024-07-07 15:21
Nov,17.23,2024-07-07 15:21
Dec,17.06,2024-07-07 15:21
Jan,17.75,2024-07-07 15:21
Feb,18.05,2024-07-07 15:21
VIX,12.48,2024-07-07 15:21
Jul,13.33,2024-07-07 15:26
Aug,14.4,2024-07-07 15:26
Sep,15.31,2024-07-07 15:26
Oct,17.7,2024-07-07 15:26
Nov,17.23,2024-07-07 15:26
Dec,17.06,2024-07-07 15:26
Jan,17.75,2024-07-07 15:26
Feb,18.05,2024-07-07 15:26
VIX,12.48,2024-07-07 15:26
Jul,13.33,2024-07-07 15:32
Aug,14.4,2024-07-07 15:32
Sep,15.31,2024-07-07 15:32
Oct,17.7,2024-07-07 15:32
Nov,17.23,2024-07-07 15:32
Dec,17.06,2024-07-07 15:32
Jan,17.75,2024-07-07 15:32
Feb,18.05,2024-07-07 15:32
VIX,12.48,2024-07-07 15:32
Jul,13.33,2024-07-07 15:33
Aug,14.4,2024-07-07 15:33
Sep,15.31,2024-07-07 15:33
Oct,17.7,2024-07-07 15:33
Nov,17.23,2024-07-07 15:33
Dec,17.06,2024-07-07 15:33
Jan,17.75,2024-07-07 15:33
Feb,18.05,2024-07-07 15:33
VIX,12.48,2024-07-07 15:33
Jul,13.33,2024-07-07 16:50
Aug,14.4,2024-07-07 16:50
Sep,15.31,2024-07-07 16:50
Oct,17.7,2024-07-07 16:50
Nov,17.23,2024-07-07 16:50
Dec,17.06,2024-07-07 16:50
Jan,17.75,2024-07-07 16:50
Feb,18.05,2024-07-07 16:50
VIX,12.48,2024-07-07 16:50
Jul,13.33,2024-07-07 22:32
Aug,14.4,2024-07-07 22:32
Sep,15.31,2024-07-07 22:32
Oct,17.7,2024-07-07 22:32
Nov,17.23,2024-07-07 22:32
Dec,17.06,2024-07-07 22:32
Jan,17.75,2024-07-07 22:32
Feb,18.05,2024-07-07 22:32
VIX,12.48,2024-07-07 22:32
Jul,12.85,2024-07-13 19:56
Aug,13.96,2024-07-13 19:56
Sep,15.0,2024-07-13 19:56
Oct,17.44,2024-07-13 19:56
Nov,17.0,2024-07-13 19:56
Dec,16.77,2024-07-13 19:56
Jan,17.6,2024-07-13 19:56
Feb,17.93,2024-07-13 19:56
VIX,12.46,2024-07-13 19:56
Jul,12.85,2024-07-13 20:01
Aug,13.96,2024-07-13 20:01
Sep,15.0,2024-07-13 20:01
Oct,17.44,2024-07-13 20:01
Nov,17.0,2024-07-13 20:01
Dec,16.77,2024-07-13 20:01
Jan,17.6,2024-07-13 20:01
Feb,17.93,2024-07-13 20:01
VIX,12.46,2024-07-13 20:01
Jul,12.85,2024-07-13 21:01
Aug,13.96,2024-07-13 21:01
Sep,15.0,2024-07-13 21:01
Oct,17.44,2024-07-13 21:01
Nov,17.0,2024-07-13 21:01
Dec,16.77,2024-07-13 21:01
Jan,17.6,2024-07-13 21:01
Feb,17.93,2024-07-13 21:01
VIX,12.46,2024-07-13 21:01
Jul,12.85,2024-07-14 01:01
Aug,13.96,2024-07-14 01:01
Sep,15.0,2024-07-14 01:01
Oct,17.44,2024-07-14 01:01
Nov,17.0,2024-07-14 01:01
Dec,16.77,2024-07-14 01:01
Jan,17.6,2024-07-14 01:01
Feb,17.93,2024-07-14 01:01
VIX,12.46,2024-07-14 01:01
Jul,12.85,2024-07-14 02:01
Aug,13.96,2024-07-14 02:01
Sep,15.0,2024-07-14 02:01
Oct,17.44,2024-07-14 02:01
Nov,17.0,2024-07-14 02:01
Dec,16.77,2024-07-14 02:01
Jan,17.6,2024-07-14 02:01
Feb,17.93,2024-07-14 02:01
VIX,12.46,2024-07-14 02:01
Jul,12.85,2024-07-14 03:00
Aug,13.96,2024-07-14 03:00
Sep,15.0,2024-07-14 03:00
Oct,17.44,2024-07-14 03:00
Nov,17.0,2024-07-14 03:00
Dec,16.77,2024-07-14 03:00
Jan,17.6,2024-07-14 03:00
Feb,17.93,2024-07-14 03:00
VIX,12.46,2024-07-14 03:00
Jul,12.85,2024-07-14 04:00
Aug,13.96,2024-07-14 04:00
Sep,15.0,2024-07-14 04:00
Oct,17.44,2024-07-14 04:00
Nov,17.0,2024-07-14 04:00
Dec,16.77,2024-07-14 04:00
Jan,17.6,2024-07-14 04:00
Feb,17.93,2024-07-14 04:00
VIX,12.46,2024-07-14 04:00
Jul,12.85,2024-07-14 05:04
Aug,13.96,2024-07-14 05:04
Sep,15.0,2024-07-14 05:04
Oct,17.44,2024-07-14 05:04
Nov,17.0,2024-07-14 05:04
Dec,16.77,2024-07-14 05:04
Jan,17.6,2024-07-14 05:04
Feb,17.93,2024-07-14 05:04
VIX,12.46,2024-07-14 05:04
Jul,12.85,2024-07-14 06:00
Aug,13.96,2024-07-14 06:00
Sep,15.0,2024-07-14 06:00
Oct,17.44,2024-07-14 06:00
Nov,17.0,2024-07-14 06:00
Dec,16.77,2024-07-14 06:00
Jan,17.6,2024-07-14 06:00
Feb,17.93,2024-07-14 06:00
VIX,12.46,2024-07-14 06:00
Jul,12.85,2024-07-14 07:01
Aug,13.96,2024-07-14 07:01
Sep,15.0,2024-07-14 07:01
Oct,17.44,2024-07-14 07:01
Nov,17.0,2024-07-14 07:01
Dec,16.77,2024-07-14 07:01
